Brand,Product_Name,Former_Price,Current_Price,Discount
Ray-Ban,RB7047,,176.0,
Oakley,Plank 2.0,,187.0,
Oakley,Socket 5.5,,227.0,
Oakley,Holbrook RX,,187.0,
Oakley,Wheel House,,242.0,
Ray-Ban,RB8908,,276.0,
Ray-Ban,RB7229,222.0,155.4,30% Off
Oakley,Pitchman R Carbon - Alternate Fit,,297.0,
Ray-Ban,RB6645,,210.0,
Ray-Ban,RB7260,,210.0,
Ray-Ban,RB5154 Clubmaster,,222.0,
Persol,PO3189V,342.0,171.0,50% Off
Burberry,BE2315,266.0,133.0,50% Off
Persol,PO3297V,,342.0,
Versace,VE1285,300.0,210.0,30% Off
Gucci,GG1340O,305.0,259.25,15% Off
Gucci,GG1221O,605.0,514.25,15% Off
Kate Spade,Charlee,245.0,171.5,30% Off
Kate Spade,Lucyann,230.0,161.0,30% Off
Burberry,BE2417,327.0,228.9,30% Off
Dolce & Gabbana,DG3415,335.0,234.5,30% Off
Versace,VE3373U,316.0,221.2,30% Off
RALPH by Ralph Lauren,RA7158U,141.0,98.7,30% Off
Ray-Ban,RB7140,,237.0,
